Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,modularity_class,eigencentrality
jimbalaue,jimbalaue,,0,1,1,0,1,1,1,1,1,0,0,0.011515,0.00002,445,0
MaiconPrado_,MaiconPrado_,,0,1,1,0,1,1,1,1,1,0,0,0.002116,0.00002,84,0
loyolucass,loyolucass,,0,1,1,0,1,1,1,1,1,0,0,0.000167,0.00002,466,0
belvangrol,belvangrol,,0,1,1,0,1,1,2,0.6,0.666667,0,0,0,0.00002,427,0
LeoRightway,LeoRightway,,1,2,3,1,2,3,1,1,1,2,0,0.000023,0.000038,427,0.000218
srtaholtzmann,srtaholtzmann,,0,1,1,0,1,1,1,1,1,0,0,0.011515,0.00002,445,0
votenotijolo,votenotijolo,,0,1,1,0,1,1,6,0.259259,0.313492,0,0,0,0.00002,120,0
JuBatagliotti,JuBatagliotti,,0,1,1,0,1,1,12,0.187945,0.212952,0,0,0.003399,0.00002,486,0
victorterra,victorterra,,0,1,1,0,1,1,1,1,1,0,0,0.011515,0.00002,445,0
Jacome72439256,Jacome72439256,,0,1,1,0,1,1,1,1,1,0,0,0.000023,0.00002,555,0
patriotaBR2017,patriotaBR2017,,0,3,3,0,4,4,1,1,1,0,0,0.000055,0.00002,555,0
ivagnamendes,ivagnamendes,,0,2,2,0,2,2,12,0.183129,0.202262,0,0,0.00104,0.00002,84,0
EspeletaDe,EspeletaDe,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,0.00002,65,0
elbages,elbages,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,0.00002,128,0
florenci_campos,florenci_campos,,1,1,2,1,1,2,1,1,1,1,0,0,0.000038,128,0.000218
stormiebox,stormiebox,,0,1,1,0,1,1,12,0.187945,0.212952,0,0,0.003399,0.00002,486,0
caronilda,caronilda,,0,7,7,0,7,7,10,0.277284,0.324984,0,0,0.018815,0.00002,486,0
elisalmeida2,elisalmeida2,,0,10,10,0,12,12,10,0.280458,0.334459,0,0,0.008496,0.00002,24,0
WalterD51723360,WalterD51723360,,0,1,1,0,1,1,1,1,1,0,0,0.000027,0.00002,555,0
JOSESIL16963740,JOSESIL16963740,,0,1,1,0,1,1,4,0.411765,0.488095,0,0,0.000031,0.00002,35,0
Wallvinegro,Wallvinegro,,0,1,1,0,1,1,1,1,1,0,0,0.011515,0.00002,445,0
CarlosASPoetaRJ,CarlosASPoetaRJ,,0,1,1,0,1,1,10,0.273962,0.312593,0,0,0.000386,0.00002,24,0
alxpqno,alxpqno,,0,1,1,0,1,1,1,1,1,0,0,0.000023,0.00002,555,0
DanielMartinMex,DanielMartinMex,,0,1,1,0,1,1,1,1,1,0,0,0,0.00002,124,0
BarrosAgeiza8,BarrosAgeiza8,,0,4,4,0,5,5,2,0.833333,0.9,0,0,0.000058,0.00002,24,0
Marylarys,Marylarys,,4,1,5,4,2,6,1,1,1,4.5,0.000166,0.000193,0.000047,84,0.000878
BlogdoJuca,BlogdoJuca,,1,0,1,1,0,1,0,0,0,0,0.000001,0,0.000025,24,0.000218
blimadelima,blimadelima,,0,21,21,0,22,22,11,0.230769,0.288728,0,0,0.018955,0.00002,84,0
Kalendus,Kalendus,,1,0,1,1,0,1,0,0,0,0,0.000258,0,0.000021,84,0.000218
andrekamai,andrekamai,,0,2,2,0,2,2,12,0.183031,0.202019,0,0,0.012158,0.00002,24,0
s_pelucia,s_pelucia,,0,1,1,0,1,1,1,1,1,0,0,0.011515,0.00002,445,0
kmzimmer,kmzimmer,,0,1,1,0,1,1,1,1,1,0,0,0.011515,0.00002,445,0
